2024-05-23 01:54:58,756: asyncio: INFO: [MLTrader] Executing the initialize lifecycle method
2024-05-23 01:55:01,059: root: INFO: Current backtesting datetime 2023-12-15 08:30:00-05:00
2024-05-23 01:55:01,062: asyncio: INFO: [MLTrader] Executing the before_market_opens lifecycle method
2024-05-23 01:55:01,064: root: INFO: Current backtesting datetime 2023-12-15 09:30:00-05:00
2024-05-23 01:55:01,064: asyncio: INFO: [MLTrader] Executing the before_starting_trading lifecycle method
2024-05-23 01:55:01,067: asyncio: INFO: [MLTrader] [34mExecuting the on_trading_iteration lifecycle method at 2024-05-23 01:55:01[0m
2024-05-23 01:55:01,069: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-05-23 01:55:02,165: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-05-23 01:55:06,362: asyncio: INFO: [MLTrader] [32mNew order was created: market order of | 106 SPY buy | at price $563.3879882812499 of class bracket with status new[0m
2024-05-23 01:55:06,373: asyncio: INFO: [MLTrader] [34mTrading iteration ended at 2024-05-23 01:55:06[0m
2024-05-23 01:55:06,373: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-05-23 01:55:06,373: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-05-23 01:55:06,376: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-05-23 01:55:06,377: root: INFO: market order of | 106 SPY buy | at price $563.3879882812499 of class bracket with status new was sent to broker backtesting
2024-05-23 01:55:06,377: root: INFO: market order of | 106 SPY buy | at price $563.3879882812499 of class bracket with status new was sent to broker backtesting
2024-05-23 01:55:06,378: asyncio: INFO: [MLTrader] [32mOrder was filled: market order of | 106 SPY buy | at price $469.49 of class bracket with status fill[0m
2024-05-23 01:55:06,385: asyncio: INFO: [MLTrader] [34mSleeping for 86400 seconds[0m
2024-05-23 01:55:06,388: root: INFO: Current backtesting datetime 2023-12-15 16:00:00-05:00
2024-05-23 01:55:06,388: root: INFO: Current backtesting datetime 2023-12-16 09:30:00-05:00
2024-05-23 01:55:06,391: asyncio: INFO: [MLTrader] [34mThe market is not currently open, skipping this trading iteration[0m
2024-05-23 01:55:06,391: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-05-23 01:55:06,391: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-05-23 01:55:06,392: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-05-23 01:55:06,392: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-05-23 01:55:06,392: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-05-23 01:55:06,394: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-05-23 01:55:06,397: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-05-23 01:55:06,397: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-05-23 01:55:06,399: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
2024-05-23 01:55:06,399: asyncio: INFO: [MLTrader] Getting historical prices for SPY, 1 bars, 
2024-05-23 01:55:06,399: root: WARNING: quote is not implemented for YahooData, but USD was passed as the quote
